"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.523476750E0,-6.962093353E0,2.889875984E1,-4.310451126E1,5.236036626E1
2.533525750E0,-7.078392029E0,2.866058922E1,-4.332042694E1,5.242320477E1
2.543573750E0,-7.097583771E0,2.819491577E1,-4.339546585E1,5.223500194E1
2.553622750E0,-7.128307343E0,2.751270676E1,-4.359283447E1,5.203937947E1
2.563670750E0,-7.234607697E0,2.710856247E1,-4.414627075E1,5.230780945E1
2.573718750E0,-7.282840729E0,2.662858582E1,-4.439655304E1,5.227977882E1
2.583767750E0,-7.288337708E0,2.615960884E1,-4.474739456E1,5.234285358E1
2.593815750E0,-7.445945740E0,2.579671288E1,-4.504631042E1,5.244122983E1
2.603863750E0,-7.653320312E0,2.570956230E1,-4.517050934E1,5.253503421E1
2.613912750E0,-7.609851837E0,2.527533340E1,-4.538652802E1,5.250418316E1
2.623960750E0,-7.534099579E0,2.493964767E1,-4.531072235E1,5.226672213E1
2.634009750E0,-7.633522034E0,2.462688065E1,-4.544235992E1,5.224712417E1
2.644057750E0,-7.535488129E0,2.429701424E1,-4.547417450E1,5.210594043E1
2.654105750E0,-7.581161499E0,2.438031960E1,-4.548868561E1,5.216411134E1
2.664154750E0,-7.533214569E0,2.408012009E1,-4.568339539E1,5.218787330E1
2.674202750E0,-7.574192047E0,2.400187302E1,-4.587154007E1,5.232261922E1
2.684250750E0,-7.556285858E0,2.378965378E1,-4.597996521E1,5.231827868E1
2.694299750E0,-7.460868835E0,2.373819351E1,-4.609040833E1,5.237835559E1
2.704347750E0,-7.476470947E0,2.383974838E1,-4.605129242E1,5.239229671E1
2.714396750E0,-7.382843018E0,2.368219757E1,-4.607687378E1,5.233002150E1
2.724444750E0,-7.329460144E0,2.344322586E1,-4.628572845E1,5.239918399E1
2.734492750E0,-7.180438995E0,2.303054047E1,-4.647874451E1,5.236638415E1
2.744541750E0,-7.148582458E0,2.299258804E1,-4.656797028E1,5.242458576E1
2.754589750E0,-7.312335968E0,2.303612518E1,-4.618854523E1,5.212979024E1
2.764637750E0,-7.262390137E0,2.289239502E1,-4.611264038E1,5.199211155E1
2.774686750E0,-7.225143433E0,2.273930550E1,-4.626932526E1,5.205890098E1
2.784734750E0,-7.289947510E0,2.280211067E1,-4.632180023E1,5.214200574E1
2.794783750E0,-7.196514130E0,2.287120438E1,-4.647018433E1,5.229110667E1
2.804831750E0,-7.198772430E0,2.303050613E1,-4.652593994E1,5.241077775E1
2.814879750E0,-7.198074341E0,2.298053741E1,-4.638632202E1,5.226478972E1
2.824928750E0,-7.180725098E0,2.306974411E1,-4.662168884E1,5.251054920E1
2.834976750E0,-7.043979645E0,2.292164612E1,-4.650933838E1,5.232722108E1
2.845024750E0,-6.991436005E0,2.281270027E1,-4.642829514E1,5.220044119E1
2.855073750E0,-6.889480591E0,2.297785378E1,-4.638622284E1,5.222191471E1
2.865121750E0,-6.985408783E0,2.310848618E1,-4.641572189E1,5.231842226E1
2.875170750E0,-7.049465179E0,2.312485886E1,-4.637262726E1,5.229602868E1
2.885218750E0,-7.051540375E0,2.295596504E1,-4.648460388E1,5.232130494E1
2.895266750E0,-6.966766357E0,2.292980576E1,-4.639411926E1,5.221806323E1
2.905315750E0,-6.918647766E0,2.285993195E1,-4.634316254E1,5.213571606E1
2.915363750E0,-6.910518646E0,2.302032089E1,-4.644579697E1,5.229629526E1
2.925411750E0,-6.959770203E0,2.320510483E1,-4.646355820E1,5.240016729E1
2.935460750E0,-6.858570099E0,2.292743301E1,-4.647781372E1,5.227709189E1
2.945508750E0,-6.930774689E0,2.304850769E1,-4.636358643E1,5.223841011E1
2.955557750E0,-6.876342773E0,2.320834732E1,-4.648526382E1,5.240983904E1
2.965605750E0,-6.837730408E0,2.326290894E1,-4.625157928E1,5.222189268E1
2.975653750E0,-6.805618286E0,2.328746605E1,-4.636005402E1,5.232472765E1
2.985702750E0,-6.851810455E0,2.328675842E1,-4.631243896E1,5.228826281E1
2.995750750E0,-6.673351288E0,2.322493744E1,-4.637450409E1,5.229269515E1
3.005798750E0,-6.778591156E0,2.347873688E1,-4.641602325E1,5.245614929E1
3.015847750E0,-6.841018677E0,2.352951813E1,-4.607481384E1,5.218549828E1
3.025895750E0,-6.771286011E0,2.349558258E1,-4.598690414E1,5.208347212E1
3.035944750E0,-6.783138275E0,2.368753052E1,-4.589477539E1,5.209069471E1
3.045992750E0,-7.012081146E0,2.375533676E1,-4.602896118E1,5.226997775E1
3.056040750E0,-7.130180359E0,2.387728882E1,-4.602230072E1,5.233561461E1
3.066089750E0,-7.156097412E0,2.399143219E1,-4.587944794E1,5.226588076E1
3.076137750E0,-7.259010315E0,2.405091476E1,-4.586195374E1,5.229205037E1
3.086185750E0,-7.329158783E0,2.415090370E1,-4.558743286E1,5.210754987E1
3.096234750E0,-7.304031372E0,2.414443016E1,-4.548945999E1,5.201531844E1
3.106282750E0,-7.254940033E0,2.406186295E1,-4.545104980E1,5.193655102E1
3.116331750E0,-7.192707062E0,2.405033875E1,-4.552980804E1,5.199151132E1
3.126379750E0,-7.063076019E0,2.383555222E1,-4.561722565E1,5.195143759E1
3.136427750E0,-7.175304413E0,2.423099327E1,-4.549226379E1,5.204010082E1
3.146476750E0,-7.042785645E0,2.424917221E1,-4.555966949E1,5.208941032E1
3.156524750E0,-6.689628601E0,2.430123901E1,-4.571220016E1,5.220063785E1
3.166572750E0,-6.356746674E0,2.433075333E1,-4.574150848E1,5.219846151E1
3.176621750E0,-6.110263824E0,2.442055130E1,-4.584505081E1,5.230169532E1
3.186669750E0,-5.819381714E0,2.449889946E1,-4.564210510E1,5.212737320E1
3.196718750E0,-5.420673370E0,2.457113838E1,-4.583528137E1,5.228764251E1
3.206766750E0,-5.059303284E0,2.443136597E1,-4.569425583E1,5.206201310E1
3.216814750E0,-4.758243561E0,2.453108978E1,-4.572300720E1,5.210574474E1
3.226863750E0,-4.327514648E0,2.466054344E1,-4.567719269E1,5.208911324E1
3.236911750E0,-3.924350739E0,2.477830887E1,-4.579356003E1,5.221508651E1
3.246959750E0,-3.497409821E0,2.493614578E1,-4.590270996E1,5.235553480E1
3.257008750E0,-3.172142029E0,2.523602295E1,-4.590821075E1,5.248317020E1
3.267056750E0,-2.812126160E0,2.528521729E1,-4.583501053E1,5.242230877E1
3.277105750E0,-2.421108246E0,2.543251419E1,-4.556813049E1,5.224106679E1
3.287153750E0,-2.043567657E0,2.567347717E1,-4.552429199E1,5.230453862E1
3.297201750E0,-1.583747864E0,2.583931923E1,-4.569204712E1,5.251611034E1
3.307250750E0,-1.160198212E0,2.585069275E1,-4.532928467E1,5.219529121E1
