"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.336884306E0,-8.918199539E0,-4.166299820E1,-3.407460022E1,5.455655856E1
2.346884306E0,-9.003600121E0,-4.185820007E1,-3.436740112E1,5.490256814E1
2.356884306E0,-8.576600075E0,-4.187039948E1,-3.436740112E1,5.484347437E1
2.366884306E0,-8.430199623E0,-4.188259888E1,-3.407460022E1,5.464703775E1
2.376884306E0,-8.637599945E0,-4.185820007E1,-3.459920120E1,5.498928778E1
2.386884306E0,-8.625399590E0,-4.176060104E1,-3.434299850E1,5.475204895E1
2.396884306E0,-8.210599899E0,-4.185820007E1,-3.389159775E1,5.448085225E1
2.406884306E0,-7.759199619E0,-4.194359970E1,-3.375740051E1,5.439699278E1
2.416884306E0,-7.710399628E0,-4.205339813E1,-3.365979767E1,5.441434127E1
2.426884306E0,-7.441999912E0,-4.213879776E1,-3.357439804E1,5.439027342E1
2.436884306E0,-7.612799644E0,-4.216320038E1,-3.340359879E1,5.432762278E1
2.446884306E0,-7.868999958E0,-4.206559753E1,-3.376959991E1,5.451441584E1
2.456884306E0,-7.588399887E0,-4.212659836E1,-3.335480118E1,5.426579829E1
2.466884306E0,-7.856800079E0,-4.207780075E1,-3.385499954E1,5.457500909E1
2.476884306E0,-8.271599770E0,-4.216320038E1,-3.397700119E1,5.477765456E1
2.486884306E0,-8.381400108E0,-4.217539978E1,-3.376959991E1,5.467538836E1
2.496884306E0,-8.466799736E0,-4.202899933E1,-3.376959991E1,5.457572135E1
2.506884306E0,-8.491199493E0,-4.202899933E1,-3.365979767E1,5.451164309E1
2.516884306E0,-8.466799736E0,-4.195579910E1,-3.348899841E1,5.434600989E1
2.526884306E0,-8.442399979E0,-4.196799850E1,-3.359880066E1,5.441935705E1
2.536884306E0,-8.515600204E0,-4.194359970E1,-3.351340103E1,5.435925911E1
2.546884306E0,-8.430199623E0,-4.201679993E1,-3.320840073E1,5.421510510E1
2.556884306E0,-8.222800255E0,-4.195579910E1,-3.326939774E1,5.417339151E1
2.566884306E0,-8.283800125E0,-4.182159805E1,-3.292779922E1,5.386935465E1
2.576884306E0,-8.173999786E0,-4.187039948E1,-3.337919998E1,5.416747748E1
2.586884306E0,-8.112999916E0,-4.184600067E1,-3.325719833E1,5.406431153E1
2.596884306E0,-8.137399673E0,-4.169960022E1,-3.331819916E1,5.399237286E1
2.606884306E0,-7.820199966E0,-4.171179962E1,-3.314739990E1,5.384960423E1
2.616884306E0,-7.734799862E0,-4.144339752E1,-3.328160095E1,5.371263621E1
2.626884306E0,-7.381000042E0,-4.149219894E1,-3.329380035E1,5.370808949E1
2.636884306E0,-7.088200092E0,-4.147999954E1,-3.308639908E1,5.353076449E1
2.646884306E0,-7.075999737E0,-4.144339752E1,-3.369639969E1,5.388016632E1
2.656884306E0,-6.783199787E0,-4.134579849E1,-3.373299789E1,5.379035229E1
2.666884306E0,-6.539199829E0,-4.128479767E1,-3.387939835E1,5.380529049E1
2.676884306E0,-6.173199654E0,-4.128479767E1,-3.477000046E1,5.432767107E1
2.686884306E0,-5.990200043E0,-4.110179901E1,-3.484320068E1,5.421521016E1
2.696884306E0,-5.782799721E0,-4.113840103E1,-3.497739792E1,5.430678758E1
2.706884306E0,-5.648600101E0,-4.096759796E1,-3.520919800E1,5.431333528E1
2.716884306E0,-5.611999989E0,-4.083340073E1,-3.540439987E1,5.433537236E1
2.726884306E0,-5.245999813E0,-4.080899811E1,-3.559959793E1,5.440796094E1
2.736884306E0,-5.331399918E0,-4.061380005E1,-3.535559845E1,5.411028480E1
2.746884306E0,-5.599800110E0,-4.017459869E1,-3.553860092E1,5.392910436E1
2.756884306E0,-5.807199955E0,-4.018679810E1,-3.535559845E1,5.383976833E1
2.766884306E0,-6.087800026E0,-4.012580109E1,-3.573379898E1,5.407444509E1
2.776884306E0,-6.026799679E0,-4.008919907E1,-3.578260040E1,5.407273516E1
2.786884306E0,-5.990200043E0,-3.994279861E1,-3.577040100E1,5.395211994E1
2.796884306E0,-6.356199741E0,-3.973539734E1,-3.641699982E1,5.427246956E1
2.806884306E0,-6.466000080E0,-3.958900070E1,-3.647800064E1,5.421939380E1
2.816884306E0,-6.831999779E0,-3.951580048E1,-3.680739975E1,5.443307253E1
2.826884306E0,-6.929599762E0,-3.955239868E1,-3.730759811E1,5.481120753E1
2.836884306E0,-6.978399754E0,-3.927180099E1,-3.694160080E1,5.436592946E1
2.846884306E0,-7.075999737E0,-3.923519897E1,-3.689279938E1,5.431895854E1
2.856884306E0,-7.368799686E0,-3.902779770E1,-3.686840057E1,5.419176287E1
2.866884306E0,-7.698199749E0,-3.900339890E1,-3.674639893E1,5.413709670E1
2.876884306E0,-7.637199879E0,-3.894239807E1,-3.653899765E1,5.394381836E1
2.886884306E0,-8.088600159E0,-3.879599762E1,-3.639260101E1,5.380498390E1
2.896884306E0,-8.100799561E0,-3.874720001E1,-3.630719757E1,5.371388143E1
2.906884306E0,-8.112999916E0,-3.877159882E1,-3.605099869E1,5.356054657E1
2.916884306E0,-8.479000092E0,-3.858860016E1,-3.612419891E1,5.353439317E1
2.926884306E0,-8.857199669E0,-3.840559769E1,-3.642919922E1,5.367053638E1
2.936884306E0,-9.003600121E0,-3.845439911E1,-3.647800064E1,5.376290688E1
2.946884306E0,-9.235400200E0,-3.825920105E1,-3.663660049E1,5.377080600E1
2.956884306E0,-9.333000183E0,-3.819820023E1,-3.655120087E1,5.368610321E1
